,recovered
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,3
2020-02-22,3
2020-02-23,3
2020-02-24,3
2020-02-25,3
2020-02-26,3
2020-02-27,3
2020-02-28,3
2020-02-29,3
2020-03-01,3
2020-03-02,3
2020-03-03,3
2020-03-04,3
2020-03-05,3
2020-03-06,3
2020-03-07,3
2020-03-08,3
2020-03-09,3
2020-03-10,4
2020-03-11,4
2020-03-12,4
2020-03-13,4
2020-03-14,4
2020-03-15,13
2020-03-16,13
2020-03-17,14
2020-03-18,14
2020-03-19,15
2020-03-20,20
2020-03-21,23
2020-03-22,27
2020-03-23,27
2020-03-24,40
2020-03-25,43
2020-03-26,45
2020-03-27,73
2020-03-28,84
2020-03-29,95
2020-03-30,102
2020-03-31,123
2020-04-01,148
2020-04-02,191
2020-04-03,192
2020-04-04,229
2020-04-05,229
2020-04-06,375
2020-04-07,421
2020-04-08,506
2020-04-09,620
2020-04-10,774
2020-04-11,969
2020-04-12,1080
2020-04-13,1181
2020-04-14,1359
2020-04-15,1432
2020-04-16,1768
2020-04-17,2041
2020-04-18,2463
2020-04-19,2854
2020-04-20,3273
2020-04-21,3975
2020-04-22,4370
2020-04-23,5012
2020-04-24,5498
2020-04-25,5939
2020-04-26,6523
2020-04-27,7137
2020-04-28,7747
2020-04-29,8437
2020-04-30,9068
2020-05-01,10007
2020-05-02,10819
2020-05-03,11775
2020-05-04,12847
2020-05-05,14142
2020-05-06,15331
2020-05-07,16776
2020-05-08,17887
2020-05-09,19301
2020-05-10,20969
2020-05-11,22549
2020-05-12,24420
2020-05-13,26400
2020-05-14,27969
2020-05-15,30258
2020-05-16,34224
2020-05-17,36795
2020-05-18,39233
2020-05-19,42309
2020-05-20,45422
2020-05-21,48553
2020-05-22,51824
2020-05-23,54385
2020-05-24,57692
2020-05-25,60706
2020-05-26,64277
2020-05-27,67749
2020-05-28,70920
2020-05-29,82627
2020-05-30,86936
2020-05-31,91852
2020-06-01,95754
2020-06-02,100285
2020-06-03,104071
2020-06-04,108450
2020-06-05,113233
2020-06-06,118695
2020-06-07,123848
2020-06-08,129095
2020-06-09,134670
2020-06-10,135206
2020-06-11,147195
2020-06-12,154330
2020-06-13,162379
2020-06-14,169798
2020-06-15,180013
2020-06-16,186935
2020-06-17,194325
2020-06-18,204711
2020-06-19,213831
2020-06-20,227728
2020-06-21,237196
2020-06-22,248190
2020-06-23,258685
2020-06-24,271697
2020-06-25,285637
2020-06-26,295881
2020-06-27,309713
2020-06-28,321723
2020-06-29,334822
2020-06-30,347912
2020-07-01,359860
2020-07-02,379892
2020-07-03,394227
2020-07-04,409083
2020-07-05,424433
2020-07-06,439934
2020-07-07,456831
2020-07-08,476378
2020-07-09,495513
2020-07-10,515386
2020-07-11,534618
2020-07-12,553471
2020-07-13,571460
2020-07-14,592032
2020-07-15,612768
2020-07-16,635757
2020-07-17,653751
2020-07-18,677423
2020-07-19,700087
2020-07-20,724578
2020-07-21,753050
2020-07-22,782607
2020-07-23,817209
2020-07-24,849432
2020-07-25,885573
2020-07-26,917568
2020-07-27,951166
2020-07-28,988029
2020-07-29,1019735
2020-07-30,1055348
2020-07-31,1094374
2020-08-01,1145629
2020-08-02,1186203
2020-08-03,1230509
2020-08-04,1282215
2020-08-05,1328336
2020-08-06,1378105
